x,ya,yb,yc,yd
3.23,10.344,2.4074999999999998,1.0,1.0
3.2399999999999998,10.419,2.417,1.0,1.0
3.25,10.496,2.427,1.0,1.0
3.26,10.575,2.4375,1.0,1.0
3.27,10.6565,2.448,1.0,1.0
3.2800000000000002,10.7405,2.459,1.0,1.0
3.29,10.8275,2.4705,1.0,1.0
3.3,10.9165,2.482,1.0,1.0
3.3099999999999996,11.009,2.4939999999999998,1.0,1.0
3.32,11.104,2.5065,1.0,1.0
3.33,11.202,2.5195,1.0,1.0
3.34,11.303,2.5324999999999998,1.0,1.0
3.35,11.408,2.5465,1.0,1.0
3.3600000000000003,11.516,2.5605,1.0,1.0
3.37,11.6275,2.575,1.0,1.0
3.38,11.743,2.5905,1.0,1.0
3.3899999999999997,11.8625,2.606,1.0,1.0
3.4,11.9865,2.6225,1.0,1.0
3.41,12.1145,2.6395,1.0,1.0
3.42,12.247,2.657,1.0,1.0
3.43,12.3845,2.675,1.0,1.0
3.4400000000000004,12.527,2.694,1.0,1.0
3.45,12.6745,2.7135,1.0,1.0
3.46,12.828,2.734,1.0,1.0
3.4699999999999998,12.9875,2.755,1.0,1.0
3.48,13.1535,2.777,1.0,1.0
3.49,13.3255,2.8,1.0,1.0
3.5,-0.5,2.824,1.0,1.0
3.5100000000000002,-0.5,2.8485,1.0,1.0
3.52,-0.5,2.8745000000000003,1.01,1.0
3.5300000000000002,-0.5,2.9015,1.02,1.0
3.54,-0.5,2.9295,1.031,1.0
3.55,-0.5,2.959,1.043,1.0
3.56,-0.5,2.99,1.055,1.0
3.57,-0.5,3.0225,1.067,1.0
3.58,-0.5,3.056,1.081,1.0
3.5900000000000003,-0.5,3.0915,1.095,1.0
3.6,-0.5,3.129,1.109,1.0
3.61,-0.5,3.168,1.125,1.0
3.6199999999999997,-0.5,3.209,1.141,1.0
3.63,-0.5,3.2525,1.158,1.0
3.64,-0.5,3.2985,1.176,1.0
3.65,-0.5,3.347,1.195,1.0
3.66,-0.5,3.398,1.216,1.0
3.67,-0.5,3.452,1.237,1.0
3.68,-0.5,3.5095,1.26,1.0
3.69,-0.5,3.5705,1.284,1.0
3.6999999999999997,-0.5,3.636,1.31,1.0
3.71,-0.5,3.705,1.338,1.0
3.7199999999999998,-0.5,3.7795,1.367,1.0
3.73,-0.5,3.859,1.399,1.0
3.74,-0.5,3.9445,1.433,1.0
3.75,-0.5,4.0365,1.469,1.0
3.7600000000000002,-0.5,4.1355,1.509,1.0
3.7699999999999996,-0.5,4.243,1.551,1.0
3.78,-0.5,4.359999999999999,1.597,1.0
