coli,colx,coly,colz,colN,colG3,colG4
353,5,3,5,272.0,0.3672941474550891,0.7125302632615631
354,5,3,6,0.0,-1.0,-1.0
355,5,4,1,242.0,0.3438555746225522,0.7565955529293504
356,5,4,2,266.0,0.4559347552556964,0.633293325751774
357,5,4,3,254.0,0.4453721989282788,0.6194374637398861
358,5,4,4,244.0,0.6805924914466059,0.3854994832307823
359,5,4,5,0.0,-1.0,-1.0
360,5,4,6,0.0,-1.0,-1.0
361,5,5,1,246.0,0.4385643803241001,0.6317061628096742
362,5,5,2,262.0,0.4306716960089817,0.6538448857929625
363,5,5,3,234.0,0.6193536418114065,0.4492137111039317
364,5,5,4,184.0,0.659932268312141,0.3402784903119689
365,5,5,5,0.0,-1.0,-1.0
366,5,5,6,-1.0,-1.0,-1.0
367,5,6,1,262.0,0.3982885087687385,0.7060189264205143
368,5,6,2,278.0,0.4376962453334121,0.6717914934887247
369,5,6,3,248.0,0.663855357145001,0.4059708488888031
370,5,6,4,128.0,0.631911907866464,0.3863366532782575
371,5,6,5,96.0,0.5886246793217937,0.3968415595585688
372,5,6,6,-1.0,-1.0,-1.0
373,5,7,1,262.0,0.43415692974463016,0.6593059495942537
374,5,7,2,262.0,0.5256838393874959,0.5714848294753868
375,5,7,3,218.0,0.692154674463917,0.39802239022680425
376,5,7,4,84.0,0.6444580574538914,0.3916389604220595
377,5,7,5,30.0,-1.0,-1.0
378,5,7,6,-1.0,-1.0,-1.0
379,5,8,1,258.0,0.4052174811486147,0.6561282567692416
380,5,8,2,290.0,0.5377910420748583,0.542551740050525
381,5,8,3,224.0,0.6555276638167488,0.4341305802674421
382,5,8,4,54.0,0.6291058607475141,0.3762483742232732
383,5,8,5,12.0,-1.0,-1.0
384,5,8,6,-1.0,-1.0,-1.0
385,5,9,1,264.0,0.43507528842344045,0.6538925302871003
386,5,9,2,272.0,0.49131979596732644,0.58895925571555
387,5,9,3,220.0,0.6442859941799269,0.42005100507334175
388,5,9,4,36.0,-1.0,-1.0
389,5,9,5,8.0,-1.0,-1.0
390,5,9,6,-1.0,-1.0,-1.0
391,5,10,1,254.0,0.44252899847192756,0.6169937998832522
392,5,10,2,262.0,0.4881508878879807,0.5890997378588061
393,5,10,3,208.0,0.6724949736634833,0.36620816076342905
394,5,10,4,22.0,-1.0,-1.0
395,5,10,5,6.0,-1.0,-1.0
396,5,10,6,0.0,-1.0,-1.0
397,5,11,1,270.0,0.5500884652823246,0.5485868033655082
398,5,11,2,252.0,0.4903164622378051,0.5872756319645801
399,5,11,3,185.0,0.6337213814675703,0.4010815639110164
400,5,11,4,16.0,-1.0,-1.0
401,5,11,5,4.0,-1.0,-1.0
402,5,11,6,0.0,-1.0,-1.0
403,5,12,1,260.0,0.4002295488402623,0.6886147678906517
404,5,12,2,232.0,0.38847661221446217,0.693414027076089
405,5,12,3,176.0,0.7681233998089514,0.28399446079403545
406,5,12,4,14.0,-1.0,-1.0
407,5,12,5,4.0,-1.0,-1.0
408,5,12,6,2.0,-1.0,-1.0
409,5,13,1,240.0,0.4852361358046976,0.5901639464947545
410,5,13,2,244.0,0.6081500377538298,0.49989236681728766
411,5,13,3,162.0,0.681164262911267,0.3470200203121229
412,5,13,4,8.0,-1.0,-1.0
413,5,13,5,2.0,-1.0,-1.0
414,5,13,6,0.0,-1.0,-1.0
415,5,14,1,286.0,0.4972294383826842,0.5995348242374225
416,5,14,2,216.0,0.5012906316012092,0.5721164837273804
417,5,14,3,142.0,0.6878207879465902,0.3702742960108456
418,5,14,4,10.0,-1.0,-1.0
419,5,14,5,6.0,-1.0,-1.0
420,5,14,6,4.0,-1.0,-1.0
421,6,1,1,274.0,0.5175395461551875,0.5532861222007446
422,6,1,2,242.0,0.5759035929211054,0.5179954644252481
423,6,1,3,126.0,0.6777138145895584,0.36406157444230547
424,6,1,4,6.0,-1.0,-1.0
425,6,1,5,6.0,-1.0,-1.0
426,6,1,6,0.0,-1.0,-1.0
427,6,2,1,252.0,0.3216757169100776,0.7809543091653625
428,6,2,2,270.0,0.37411575223575455,0.6878880992356248
429,6,2,3,254.0,0.42434929847454933,0.638444474862515
430,6,2,4,210.0,0.6903230438578863,0.3824428821016603
431,6,2,5,158.0,0.6948052496686035,0.3418937404564763
432,6,2,6,0.0,-1.0,-1.0
433,6,3,1,268.0,0.4521508659713805,0.64517625349298
434,6,3,2,280.0,0.46524596915075894,0.6162836493695292
435,6,3,3,222.0,0.5288841456954393,0.534631163487565
436,6,3,4,98.0,0.6569133652272613,0.3444765038986267
437,6,3,5,26.0,-1.0,-1.0
438,6,3,6,0.0,-1.0,-1.0
439,6,4,1,250.0,0.392218310150774,0.7033920663442401
440,6,4,2,238.0,0.515821864057967,0.5728908583719242
441,6,4,3,202.0,0.711017903053593,0.3698480447217444
442,6,4,4,18.0,-1.0,-1.0
443,6,4,5,12.0,-1.0,-1.0
444,6,4,6,0.0,-1.0,-1.0
445,6,5,1,262.0,0.3960911935666387,0.7034997289930957
446,6,5,2,274.0,0.6399694608759279,0.4391113168179372
447,6,5,3,130.0,0.6895910293354341,0.3538628895170003
448,6,5,4,8.0,-1.0,-1.0
449,6,5,5,4.0,-1.0,-1.0
450,6,5,6,2.0,-1.0,-1.0
451,6,6,1,262.0,0.6110617936681709,0.48552429580545364
452,6,6,2,244.0,0.6269867474825034,0.454189554520744
453,6,6,3,93.0,0.6655791905437897,0.35762977283441283
454,6,6,4,2.0,-1.0,-1.0
455,6,6,5,6.0,-1.0,-1.0
456,6,6,6,0.0,-1.0,-1.0
457,6,7,1,236.0,0.5494933462011429,0.5532808964185826
