x,ya,yb,yc,yd
3.67,-0.5,4.1945,1.76,1.0
3.68,-0.5,4.284,1.805,1.0
3.69,-0.5,4.3795,1.853,1.0
3.6999999999999997,-0.5,4.4815000000000005,1.904,1.0
3.71,-0.5,4.5915,1.959,1.0
3.7199999999999998,-0.5,4.7095,2.0095,1.0
3.73,-0.5,4.837,2.042,1.0
3.74,-0.5,4.975,2.077,1.0
3.75,-0.5,5.125,2.115,1.0
3.7600000000000002,-0.5,5.288,2.1565000000000003,1.0
3.7699999999999996,-0.5,5.4665,2.2024999999999997,1.0
3.78,-0.5,5.6625,2.2525,1.0
3.79,-0.5,5.8785,2.308,1.0
3.8,-0.5,6.118,2.37,1.0
3.81,-0.5,6.3845,2.439,1.0
3.8200000000000003,-0.5,6.6825,2.5164999999999997,1.0
3.83,-0.5,7.019,2.604,1.0
3.8400000000000003,-0.5,7.401,2.7039999999999997,1.0
3.8499999999999996,-0.5,7.838,2.819,1.0
3.86,-0.5,8.343,2.9524999999999997,1.0
3.87,-0.5,8.933,3.109,1.0
3.88,-0.5,9.6305,3.295,1.0
3.89,-0.5,10.4675,3.52,1.0
3.9000000000000004,-0.5,11.4895,3.796,1.0
3.91,-0.5,12.7645,4.1434999999999995,1.0
3.92,-0.5,-0.5,4.592499999999999,1.0
3.9299999999999997,-0.5,-0.5,5.1925,1.0
3.94,-0.5,-0.5,6.032,1.0
3.95,-0.5,-0.5,7.2815,1.0
3.96,-0.5,-0.5,9.3145,1.0
3.97,-0.5,-0.5,13.1205,1.0
3.98,-0.5,-0.5,-0.5,1.0
3.99,-0.5,-0.5,-0.5,1.0
4.0,-0.5,-0.5,-0.5,1.0
4.01,-0.5,-0.5,-0.5,1.0
4.02,-0.5,-0.5,-0.5,1.0
4.03,-0.5,-0.5,-0.5,1.0
4.04,-0.5,-0.5,-0.5,1.0
4.05,-0.5,-0.5,-0.5,1.0
4.0600000000000005,-0.5,-0.5,-0.5,1.0
4.07,-0.5,-0.5,-0.5,1.0
4.08,-0.5,-0.5,-0.5,1.0
4.09,-0.5,-0.5,-0.5,1.0
4.1,-0.5,-0.5,-0.5,1.0
4.11,-0.5,-0.5,-0.5,1.0
4.12,-0.5,-0.5,-0.5,1.0
4.13,-0.5,-0.5,-0.5,1.0
4.140000000000001,-0.5,-0.5,-0.5,1.0
4.15,-0.5,-0.5,-0.5,1.0
4.16,-0.5,-0.5,-0.5,1.0
4.17,-0.5,-0.5,-0.5,1.0
4.18,-0.5,-0.5,-0.5,1.0
4.19,-0.5,-0.5,-0.5,1.0
4.2,-0.5,-0.5,-0.5,1.0
4.21,-0.5,-0.5,-0.5,1.0
4.220000000000001,-0.5,-0.5,-0.5,1.0
4.2299999999999995,-0.5,-0.5,-0.5,1.0
4.24,-0.5,-0.5,-0.5,1.0
4.25,-0.5,-0.5,-0.5,1.0
4.26,-0.5,-0.5,-0.5,1.0
4.27,-0.5,-0.5,-0.5,1.0
4.28,-0.5,-0.5,-0.5,1.0
4.29,-0.5,-0.5,-0.5,1.0
4.3,-0.5,-0.5,-0.5,1.0
4.31,-0.5,-0.5,-0.5,1.0
4.32,-0.5,-0.5,-0.5,1.0
4.33,-0.5,-0.5,-0.5,1.0
4.34,-0.5,-0.5,-0.5,1.0
4.35,-0.5,-0.5,-0.5,1.0
4.36,-0.5,-0.5,-0.5,1.0
4.37,-0.5,-0.5,-0.5,1.0
4.38,-0.5,-0.5,-0.5,1.0
4.39,-0.5,-0.5,-0.5,1.0
4.3999999999999995,-0.5,-0.5,-0.5,1.0
4.41,-0.5,-0.5,-0.5,1.0
4.42,-0.5,-0.5,-0.5,1.0
4.43,-0.5,-0.5,-0.5,1.0
4.44,-0.5,-0.5,-0.5,1.0
4.45,-0.5,-0.5,-0.5,1.0
4.46,-0.5,-0.5,-0.5,1.0
4.47,-0.5,-0.5,-0.5,1.0
4.4799999999999995,-0.5,-0.5,-0.5,1.0
4.49,-0.5,-0.5,-0.5,1.0
4.5,-0.5,-0.5,-0.5,1.0
