r,transport,diffusive,turnover
2.235,0.007549094826551304,4.972693105739924e-7,-0.007549094823233737
2.245,0.007291726984751038,5.750211141822119e-7,-0.007291726982806557
2.255,0.007042792517364175,6.456364664111396e-7,-0.007042792515491447
2.265,0.006801988802274059,7.096651320540089e-7,-0.006801988800174685
2.275,0.00656902402235614,7.676134894851529e-7,-0.006569024020884884
2.285,0.00634361673590901,8.199530379290578e-7,-0.006343616733319735
2.295,0.006125495451936002,8.671147202115545e-7,-0.006125495448577878
2.305,0.005914398237918269,9.094970715238031e-7,-0.005914398236174234
2.315,0.005710072343992111,9.474733718037358e-7,-0.005710072341549299
2.325,0.00551227382465639,9.813807192655161e-7,-0.005512273822162461
2.335,0.005320767204645127,1.0115367358603239e-6,-0.00532076720121899
2.345,0.0051353251313923974,1.0382285721588754e-6,-0.0051353251317465265
2.355,0.004955728076396938,1.0617362257264681e-6,-0.004955728074982346
2.365,0.004781763996450296,1.0823039969133485e-6,-0.004781763993069177
2.375,0.004613228057147969,1.1001599251109783e-6,-0.004613228055022622
2.3850000000000002,0.004449922354188741,1.1155211717260663e-6,-0.004449922352784963
2.395,0.004291655633498804,1.128587502099455e-6,-0.004291655629916624
2.4050000000000002,0.0041382430222999065,1.1395346599178255e-6,-0.004138243021400978
2.415,0.003989505803128324,1.1485392910072078e-6,-0.003989505801483828
2.4250000000000003,0.0038452711466923453,1.1557544852729015e-6,-0.0038452711451841814
2.435,0.0037053718988028653,1.1613286526029587e-6,-0.003705371894672238
2.445,0.0035696463394100987,1.1653884369449418e-6,-0.0035696463373235954
2.455,0.0034379379959754383,1.1680662693003285e-6,-0.0034379379934945664
2.465,0.003310095410781641,1.1694751926673207e-6,-0.003310095408224356
2.475,0.003185971955703527,1.1697224695932831e-6,-0.0031859719525562102
2.485,0.0030654256374335765,1.168906587304296e-6,-0.0030654256337558916
2.495,0.0029483189108164645,1.1671150489176174e-6,-0.0029483189109569263
2.505,0.0028345185175593186,1.1644405832461607e-6,-0.0028345185183054067
2.515,0.00272389529463339,1.1609617253401237e-6,-0.002723895293899048
2.525,0.0026163240188784684,1.156752738931862e-6,-0.002616324015809468
2.535,0.0025116832428829145,1.1518790622757702e-6,-0.002511683243289209
2.545,0.0024098551636467826,1.146419598336855e-6,-0.002409855161997765
2.555,0.002310725440177226,1.1404345296355563e-6,-0.002310725437528749
2.565,0.002214183075626817,1.1339911000779245e-6,-0.0022141830722810507
2.575,0.00212012027164946,1.127157912093166e-6,-0.0021201202680476428
2.585,0.002028432294778031,1.120007114588509e-6,-0.0020284322928032505
2.595,0.0019390173505674526,1.1126206448922512e-6,-0.0019390173498423646
2.605,0.0018517764550170918,1.1050908396530748e-6,-0.0018517764516712276
2.615,0.001766613301940392,1.097514408541926e-6,-0.0017666132988503058
2.625,0.0016834341580473857,1.0900107973041312e-6,-0.0016834341586213775
2.6350000000000002,0.0016021477452653502,1.0827267750052711e-6,-0.0016021477444150278
2.645,0.0015226650961013264,1.0758134892624068e-6,-0.0015226650946809084
2.6550000000000002,0.0014448994527376277,1.0694445653654323e-6,-0.0014448994487692435
2.665,0.0013687661216867954,1.0637890542695252e-6,-0.0013687661194183853
2.6750000000000003,0.0012941823563310281,1.059008866706377e-6,-0.0012941823533929586
2.685,0.0012210671762976565,1.0551896282215598e-6,-0.001221067176296886
2.695,0.001149341213928519,1.0522883209185008e-6,-0.0011493412122542956
2.705,0.0010789264810184252,1.049986103207238e-6,-0.001078926478823572
