r,tau,v
0.26,0.3,0.11306992757110568
0.27,0.3,0.11683312779788967
0.28,0.3,0.12053043390825427
0.29,0.3,0.1241595095603685
0.3,0.3,0.12771803530871645
0.31,0.3,0.13120371009455145
0.32,0.3,0.1346142528382037
0.33,0.3,0.13794740413795115
0.34,0.3,0.1412009280801806
0.35000000000000003,0.3,0.1443726141655764
0.36,0.3,0.1474602793560672
0.37,0.3,0.1504617702472634
0.38,0.3,0.1533749653710556
0.39,0.3,0.1561977776329993
0.4,0.3,0.15892815688901443
0.41000000000000003,0.3,0.16156409266579488
0.42,0.3,0.16410361702915616
0.43,0.3,0.1665448076043092
0.44,0.3,0.16888579075178292
0.45,0.3,0.17112474490234433
0.46,0.3,0.17325990405382724
0.47000000000000003,0.3,0.1752895614322509
0.48,0.3,0.17721207331896008
0.49,0.3,0.17902586304476248
0.5,0.3,0.18072942515111462
0.51,0.3,0.18232132971734516
0.52,0.3,0.18380022685167616
0.53,0.3,0.18516485134233657
0.54,0.3,0.18641402746342026
0.55,0.3,0.18754667392823568
0.56,0.3,0.1885618089807437
0.5700000000000001,0.3,0.18945855561326044
0.58,0.3,0.190236146895861
0.59,0.3,0.1908939313999344
0.6,0.3,0.1914313786949989
0.61,0.3,0.19184808489426833
0.62,0.3,0.1921437782205538
0.63,0.3,0.19231832455990125
0.64,0.3,0.19237173296596738
0.65,0.3,0.19230416107355816
0.66,0.3,0.19211592037506262
0.67,0.3,0.19180748130885744
0.68,0.3,0.19137947810415012
0.6900000000000001,0.3,0.19083271332242743
0.7000000000000001,0.3,0.1901681620317299
0.71,0.3,0.1893869755466496
0.72,0.3,0.18849048466438925
0.73,0.3,0.18748020232566995
0.74,0.3,0.1863578256289344
0.75,0.3,0.1851252371273583
0.76,0.3,0.18378450534090923
0.77,0.3,0.18233788442015614
0.78,0.3,0.18078781290496007
0.79,0.3,0.17913691152956362
0.8,0.3,0.17738798003596754
0.81,0.3,0.17554399296975312
0.8200000000000001,0.3,0.17360809444646788
0.8300000000000001,0.3,0.1715835918920937
0.84,0.3,0.1694739487775437
0.85,0.3,0.1672827763840909
0.86,0.3,0.1650138246536295
0.87,0.3,0.16267097219400392
0.88,0.3,0.16025821552473635
0.89,0.3,0.15777965766166116
0.9,0.3,0.15523949614969482
0.91,0.3,0.15264201066065267
0.92,0.3,0.14999155027737066
0.93,0.3,0.1472925205860993
0.9400000000000001,0.3,0.14454937069616966
0.9500000000000001,0.3,0.1417665802994111
0.96,0.3,0.13894864687198055
0.97,0.3,0.13610007310867367
0.98,0.3,0.1332253546649514
0.99,0.3,0.13032896826555299
1.0,0.3,0.12741536022149402
1.01,0.3,0.12448893538015253
1.02,0.3,0.12155404651688441
1.03,0.3,0.11861498416185563
1.04,0.3,0.11567596684309309
1.05,0.3,0.11274113171674441
1.06,0.3,0.10981452554849028
1.07,0.3,0.106900096006216
1.08,0.3,0.10400168322355297
1.09,0.3,0.10112301159668044
1.1,0.3,0.09826768178264006
1.11,0.3,0.09543916287618018
1.12,0.3,0.09264078475330734
1.1300000000000001,0.3,0.08987573058293395
1.1400000000000001,0.3,0.08714702952266634
1.1500000000000001,0.3,0.08445754963029628
1.16,0.3,0.08180999103831502
1.17,0.3,0.07920687945407262
1.18,0.3,0.07665056006235177
1.19,0.3,0.07414319191947796
1.2,0.3,0.07168674293794766
1.21,0.3,0.06928298556733758
1.22,0.3,0.06693349328051383
1.23,0.3,0.06463963797335373
1.24,0.3,0.06240258838121183
1.25,0.3,0.06022330960599972
1.26,0.3,0.0581025638341785
1.27,0.3,0.05604091230835002
1.28,0.3,0.05403871859411326
1.29,0.3,0.05209615315985869
1.3,0.3,0.050213199261243825
1.31,0.3,0.048389660094927935
1.32,0.3,0.04662516715892153
1.33,0.3,0.04491918973055317
1.34,0.3,0.04327104534862664
1.35,0.3,0.041679911164717684
1.36,0.3,0.04014483601061968
1.37,0.3,0.038664753015207436
1.3800000000000001,0.3,0.03723849259504757
1.3900000000000001,0.3,0.035864795639035406
1.4000000000000001,0.3,0.03454232670827246
1.41,0.3,0.03326968707813159
1.42,0.3,0.03204542745956123
1.43,0.3,0.03086806025064513
1.44,0.3,0.029736071186611344
1.45,0.3,0.02864793027606413
1.46,0.3,0.027602101932416745
1.47,0.3,0.02659705423159197
1.48,0.3,0.025631267249110606
1.49,0.3,0.024703240451132816
1.5,0.3,0.02381149913413202
1.51,0.3,0.022954599926252837
1.52,0.3,0.02213113537950851
1.53,0.3,0.02133973769568229
1.54,0.3,0.020579081639844413
1.55,0.3,0.019847886703873583
1.56,0.3,0.019144918588209943
1.57,0.3,0.0184689900735682
1.58,0.3,0.01781896135561839
1.59,0.3,0.017193739915016295
1.6,0.3,0.0165922799929263
1.61,0.3,0.01601358173863698
1.62,0.3,0.015456690091326485
1.6300000000000001,0.3,0.014920693452801646
1.6400000000000001,0.3,0.01440472220234797
1.6500000000000001,0.3,0.013907947098945118
1.6600000000000001,0.3,0.013429577610228657
1.67,0.3,0.012968860201849262
1.68,0.3,0.012525076615474636
1.69,0.3,0.012097542158639446
1.7,0.3,0.01168560402505834
1.71,0.3,0.011288639659905281
1.72,0.3,0.010906055180996436
1.73,0.3,0.010537283863659621
1.74,0.3,0.010181784694476028
1.75,0.3,0.009839040996851737
1.76,0.3,0.009508559129624467
1.77,0.3,0.009189867258437845
1.78,0.3,0.008882514198553255
1.79,0.3,0.008586068326889816
1.8,0.3,0.008300116560529485
1.81,0.3,0.008024263398467124
1.82,0.3,0.007758130023189584
1.83,0.3,0.007501353458509581
1.84,0.3,0.0072535857800859966
1.85,0.3,0.007014493375094995
1.86,0.3,0.006783756247661972
