r,P,v
2.4,1.000338000259721,0.0017311894276462272
2.41,1.000323461849283,0.0016828078606647312
2.42,1.0003093805956444,0.0016361344853219027
2.43,1.000295739241026,0.0015911158116398102
2.44,1.0002825211045272,0.0015477003237622685
2.45,1.0002697100590103,0.0015058384136826812
2.46,1.0002572905089868,0.0014654823175451503
2.47,1.0002452473681678,0.0014265860544375752
2.48,1.000233566039684,0.0013891053675723962
2.49,1.0002222323955254,0.0013529976677694928
2.5,1.00021123275804,0.0013182219791543109
2.5100000000000002,1.000200553881095,0.0012847388869868558
2.52,1.0001901829326305,0.0012525104875551123
2.5300000000000002,1.000180107477546,0.001221500340050715
2.54,1.0001703154613633,0.001191673420357094
2.5500000000000003,1.0001607951941127,0.001162996076678666
2.56,1.000151535335386,0.0011354359869640543
2.57,1.000142524879279,0.0011089621180473456
2.58,1.000133753140444,0.0010835446864587053
2.59,1.0001252097398645,0.001059155120852706
2.6,1.000116884591299,0.0010357660260072832
2.61,1.0001087678878327,0.0010133511483536594
2.62,1.0001008500890975,0.0009918853430016812
2.63,1.000093121907715,0.0009713445422189822
2.64,1.000085574296238,0.0009517057253444099
2.65,1.000078198432926,0.00093294689012132
2.66,1.0000709857080199,0.0009150470254155573
2.67,1.0000639277084065,0.0008979860853026103
2.68,1.0000570162016154,0.0008817449644832386
2.69,1.0000502431174825,0.000866305474986072
2.7,1.0000436005286462,0.0008516503240480618
2.71,1.0000370806298209,0.0008377630930147332
2.72,1.0000306757154047,0.0008246282169559774
2.73,1.0000243781564195,0.0008122309645272877
2.74,1.000018180379673,0.0008005574173127266
2.75,1.000012074852757,0.0007895944474494243
2.7600000000000002,1.000006054082157,0.0007793296917151431
2.77,1.0000001106349794,0.0007697515193659921
2.7800000000000002,0.9999942372017556,0.000760848989768505
2.79,0.9999884267279662,0.0007526117941650646
2.8000000000000003,0.9999826726530587,0.0007450301736208422
2.81,0.99997696931536,0.000738094802206898
2.82,0.999971312604962,0.0007317966206682522
2.83,0.9999657009810857,0.0007261266011293405
2.84,0.9999601370100953,0.0007210754178604795
2.85,0.9999546296384886,0.0007166329930495438
2.86,0.9999491974766368,0.0007127878804341352
2.87,0.9999438734487835,0.0007095264449028879
2.88,0.9999387112449476,0.0007068317948011542
2.89,0.9999337940904882,0.0007046824294561091
2.9,0.9999292464015613,0.0007030505831635587
2.91,0.9999252488981788,0.0007019002876491639
2.92,0.9999220576267424,0.0007011852516345464
2.93,0.9999200270344123,0.0007008467888919142
2.94,0.9999196365842669,0.0007008122443856813
2.95,0.9999215192066814,0.0007009947134766507
2.96,0.9999264878455703,0.0007012953793547826
2.97,0.9999355530470038,0.000701610587585766
2.98,0.9999499193409417,0.000701846938594382
2.99,0.999970940250351,0.0007019493451976429
3.0,1.0,0.0007019493451976429
