fn,L,rho0,kd,ap,nu1,gamma,kp,zetatot,zetap,zetap2,zetarho,M,seed,dx,dtmax,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
56,10.0,1.1,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.022470215601746224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,10.0,1.2,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,4.0,0.019327582795696907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,10.0,1.3,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-1.5543122344752192e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,10.0,1.4,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.7763568394002505e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,10.0,1.5,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,4.440892098500626e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,10.0,1.0,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,70.0,0.024150261657344907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,10.0,1.1,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,16.0,0.021423900836978094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,10.0,1.2,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,4.0,0.018739323110011252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,10.0,1.3,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-1.3322676295501878e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,10.0,1.4,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.7763568394002505e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,10.0,1.5,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,4.440892098500626e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,10.0,1.0,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,166.0,0.01772240095737032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,10.0,1.1,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,76.0,0.01726918320861137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,10.0,1.2,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,26.0,0.016148249347145205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,10.0,1.3,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.01484341349122209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,10.0,1.4,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.8645751609369654e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,10.0,1.5,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,4.440892098500626e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,10.0,1.0,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,228.0,0.010045235266356811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,10.0,1.1,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,202.0,0.010967737941675937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,10.0,1.2,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,130.0,0.011431495038263462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,10.0,1.3,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,66.0,0.01144657315337283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,10.0,1.4,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,28.0,0.01113934143903017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,10.0,1.5,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,8.0,0.01063436503805959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,10.0,1.0,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,240.0,0.005883794355174499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,10.0,1.1,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,228.0,0.006908344025989388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,10.0,1.2,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,216.0,0.007701806395752797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,10.0,1.3,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,166.0,0.008256578158540862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,10.0,1.4,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,110.0,0.008561115560758337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,10.0,1.5,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,60.0,0.008634911693381264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
