fn,rho0,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,kd,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
1244,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,2.551678224271825e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1245,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,1.232047797117275e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1246,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,1.588915887751341e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1247,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,6.140488117978293e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1248,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,8.0,10.666666666666666,1.0,0.0001,0.1,0.0,5.6694346994845546e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1249,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,0.21273966874386563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1251,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1252,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,0.4243057255464241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1253,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,30.0,0.087266482192485,8.873873040585782,0.46155933160539087,0.5107497199040612,0.4108948447959947,0.39844154329028614,0.4581587538979443,0.2348150986245846,-0.06500808370774509,-0.2058927570227483,-0.02248440792083683,-0.05333471783853931
1254,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,2.0,0.024490061872206814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1255,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,2.428387713138136e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1256,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,7.751921327070477e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1257,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,1.4530925351863289e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1258,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,7.993605777301127e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1259,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,1.4104339918219466e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1260,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,10.0,13.333333333333332,1.0,0.0001,0.1,0.0,4.218847493575595e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1261,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1262,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1263,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1264,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,0.45897650596149187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1265,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,12.0,0.07052317825358345,9.108168199659033,0.4833304299561341,0.5471026346699556,0.4506720642210312,0.535529358608113,0.5040067949438481,0.20880700931881363,-0.005600998681487841,0.07271298630828958,0.043142697950954115,0.0015399572005428458
1266,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,1.097638085978403e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1267,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,1.4681327042964654e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1268,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,2.0,0.009515565630306755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1269,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,9.08162434143378e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1270,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,1.2878587085651816e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1271,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,8.906231308003498e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1272,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,12.0,16.0,1.0,0.0001,0.1,0.0,4.65718219544442e-9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1273,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1274,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1275,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1276,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1277,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,8.0,0.05955707775040031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1278,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,0.0,9.131680256402319e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1279,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,4.0,0.011328652507816228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1280,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,0.0,2.94364532749114e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1281,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,0.0,2.431699286375988e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1282,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,0.0,7.747136265834342e-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1283,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,0.0,9.137579581874888e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1284,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,14.0,18.666666666666664,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1285,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1286,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1287,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1288,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1289,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,6.0,0.051647240948494155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1290,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,4.0,0.01606210089830895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1291,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,4.0,0.0099778851515967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1292,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,0.0,9.472636008922564e-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1293,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,0.0,4.887734661451759e-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1294,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,0.0,1.0658141036401503e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1295,1.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,0.0,2.5979218776228663e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1296,1.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,16.0,21.333333333333332,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1297,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1298,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1299,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,18.0,24.0,1.0,0.0001,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
